SKU,PO_Qty_Australia_Market,PO_Qty_Canada_Market,PO_Qty_Europe_Market,PO_Qty_US_Market,PO_Qty_Unallocated_PO,STPO_Qty_Australia_Market,STPO_Qty_Canada_Market,STPO_Qty_Europe_Market,STPO_Qty_US_Market,STPO_Qty_Unallocated_PO,STPO_Qty_STPO_Unlinked_To_Market,Effective_ETA_Australia_Market,Effective_ETA_Canada_Market,Effective_ETA_Europe_Market,Effective_ETA_US_Market,Effective_ETA_Unallocated_PO,Effective_ETA_STPO_Unlinked_To_Market,Total_STPO_InTransit_Global,Total_Inventory_Global,Total_Purchased_PO_Qty_Global,Incoming_Total_Qty_Global,Total_Ordered_Sales_Qty_Global,Inv_AGUS011,Inv_ALCA021,Inv_ANAU003,Inv_AUCN,Inv_EMCA001,Inv_EMCA003,Inv_EMCA006,Inv_FFCN,Inv_JDCATOR5,Inv_JDCAYVR2,Inv_JDUSCA4,Inv_JDUSHOU1,Inv_JDUSNJ4,Inv_NLAU001,Inv_NLAU002,Inv_Pierre_Claude_CA,Inv_Pierre_Claude_US,Inv_SKUS004,Inv_SKUS014,Inv_SKUS027,Inv_SWUS005,Inv_SWUS013,Inv_valencia_na_US
MJ354-489-11X4,2,7,0,0,0,2,0,0,0,0,0,2025-05-13,2024-11-20,,,,,2,2,9,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-489-11Y9,0,2,0,0,2,0,0,0,0,0,0,,2024-11-20,,,2025-01-20,,0,5,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MJ354-D50-1111,0,5,0,0,0,0,0,0,0,0,0,,2024-11-20,,,,,0,2,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-D50-11X4,2,7,0,0,0,2,0,0,0,0,0,2025-05-13,2024-11-20,,,,,2,2,9,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ354-D50-11Y9,0,2,0,0,1,0,0,0,0,0,0,,2024-11-20,,,2025-01-20,,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MJ354-D52-1111,0,7,0,0,0,0,0,0,0,0,0,,2024-11-20,,,,,0,1,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ354-D52-11MB,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-D52-11X4,0,6,0,0,0,0,0,0,0,0,0,,2024-11-20,,,,,0,2,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-D52-11Y9,0,2,0,0,1,0,0,0,0,0,0,,2024-11-20,,,2025-01-20,,0,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MJ354-DN1-1111,0,12,0,0,0,0,0,0,0,0,0,,2024-11-20,,,,,0,4,12,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-DN1-11MB,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-DN1-11X4,2,7,0,0,0,2,0,0,0,0,0,2025-05-13,2024-11-20,,,,,2,2,9,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ354-DN1-11Y9,0,2,0,0,2,0,0,0,0,0,0,,2024-11-20,,,2025-01-20,,0,5,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MJ356-001-1648,0,11,0,0,0,0,0,0,0,0,0,,2025-05-14,,,,,0,6,11,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MJ356-100-1648,0,11,0,0,0,0,0,0,0,0,0,,2025-05-14,,,,,0,6,11,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MJ356-450-1648,0,10,0,0,0,0,0,0,0,0,0,,2024-11-05,,,,,0,8,10,10,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MJ356-452-1648,0,6,0,0,0,0,0,0,0,0,0,,2025-05-14,,,,,0,5,6,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ356-489-1648,0,11,0,0,0,0,0,0,0,0,0,,2025-05-14,,,,,0,6,11,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MJ356-N25-1648,0,11,0,0,0,0,0,0,0,0,0,,2025-05-14,,,,,0,6,11,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MJ367-001-16B6-UK,0,0,0,0,4,0,0,0,0,0,0,,,,,2025-05-24,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ367-100-16B6-UK,0,0,0,0,3,0,0,0,0,0,0,,,,,2025-05-24,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ367-272-16B6-UK,0,0,0,0,1,0,0,0,0,0,0,,,,,2025-05-24,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ367-274-16B6-UK,0,0,0,0,1,0,0,0,0,0,0,,,,,2025-05-24,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJ369-001-16B6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ369-D50-16B6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MJ369-D52-16B6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ML328-100-11FS,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA99-IA21CL-IS1U,0,0,0,0,4,0,0,0,0,0,0,,,,,2025-06-03,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA99-IA21TN-IS1U,0,0,0,0,4,0,0,0,0,0,0,,,,,2025-06-03,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA99-OC22DY-MG2N,0,1,0,0,0,0,0,0,0,0,0,,2025-05-09,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA99-PI27CN-IS1N,0,0,0,0,1,0,0,0,0,0,0,,,,,2025-07-14,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAC2-FE22WT-CL1A,2,0,0,0,1,0,0,0,0,0,0,2025-06-13,,,,2025-06-13,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR99-OC22DY-MG2N,0,1,0,0,0,0,0,0,0,0,0,,2025-05-09,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS241-001-16B4,0,6,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,9,6,6,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS241-D50-16B4,0,6,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,10,6,6,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS241-D52-16B4,0,6,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,9,6,6,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS263-066-11SP,0,1,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-001-16B4,0,20,0,10,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,13,30,30,0,0,1,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS277-001-16G7,0,5,0,4,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,36,9,9,0,0,16,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,1,0,5,6,0
NS277-001-16L1,0,13,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,17,13,13,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,3,0
NS277-047-16B4,0,0,0,2,0,0,0,0,0,0,0,,,,2025-08-06,,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-049-16B4,0,2,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-489-16G7,0,2,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-489-16L1,0,2,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-D50-16B4,0,20,0,8,0,0,0,0,0,0,0,,2025-08-06,,2025-05-25,,,0,14,28,28,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS277-D50-16G7,0,3,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,25,5,5,0,0,16,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
NS277-D50-16L1,0,11,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,12,11,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0
NS277-D52-16B4,0,18,0,10,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,13,28,28,0,0,1,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NS277-D52-16G7,0,3,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,29,5,5,0,0,16,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,4,0
NS277-D52-16L1,0,11,0,0,0,0,0,0,0,0,0,,2025-08-06,,,,,0,13,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,1,0
NS277-L50-16B4,0,1,0,3,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-L50-16G7,0,2,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-L50-16L1,0,1,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NS277-L52-16B4,0,1,0,3,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-L52-16G7,0,2,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS277-L52-16L1,0,1,0,2,0,0,0,0,0,0,0,,2025-08-06,,2025-08-06,,,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NS284-001-16B4,0,0,0,1,0,0,0,0,0,0,0,,,,2025-05-25,,,0,9,1,1,0,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS284-D50-16B4,0,0,0,1,0,0,0,0,0,0,0,,,,2025-05-25,,,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS284-D52-16B4,0,0,0,1,0,0,0,0,0,0,0,,,,2025-05-25,,,0,7,1,1,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS294-001-16C4,0,4,0,0,0,0,0,0,0,0,0,,2025-07-14,,,,,0,11,4,4,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
